Structure Level;LvL;MatScr;MatDest;Plant;DisconType;DisconDate;Subtyp;Made From;Mat/Doc Number;DocType;Version;Description;DocPart;PTp;Formula Key;SAP Downstream;Printing Good;State;Raw Dimension 1;Raw Dimension 2;Raw Dimension 3;Raw Dimension Unit;Raw Material Amount;Raw Material Amount Unit;Raw Material Quantity;Raw Material Quantity Unit;Assembly;Pos;DisconGrp;SuccessGrp;Quantity;Quantity Unit;Reference Designator;ERP Position Text;Parent
2;;;;;;;Production document;;7200212913;Production document;AB;WIC TM-BES M18ZE(I)-PSC80B-S04G;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287547
2;;;;;;;Component;;S1200287367;;00;TM-SCHALT. M18ZI-PSC80B-S04G 62,6;000;L;;;;PUBLISHED;;;;;;;;;Yes;100;;;1;ea;;;S1200287547
3;;;;;;;CAD-Document Drawing ;;7200005347;;AC;TMS-SCHEMA M18ZI-PSC80B-S04G;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287367
3;;;;;;;Component;;S1200287603;;00;WBV  99,5/13,5;000;L;;;;PUBLISHED;;;;;;;;;Yes;100;;;1;ea;;;S1200287367
4;;;;;;;CAD-Document Drawing ;;7200015886;;AD;WBV-SCHEMA 99,5/13,5;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287603
4;;;;;;;Production document;;7200267640;Production document;AA;WIC TM-WBV 99,5/13,5;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287603
4;;;;;;;Component;;S1200287597;;00;SPULE KPL. 99,5/13,5;000;L;;;;PUBLISHED;;;;;;;;;Yes;10;;;1;ea;;;S1200287603
5;;;;;;;CAD-Document Drawing ;;7200016578;;AD;SPULEN-SCHEMA MIT KOERPER F. KERN13,5;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287597
5;;;;;;;Component;;S1200287596;;AA;SPULENKOERPER F. KERN 13,5;000;L;;;;PUBLISHED;;;;;;;;;No;10;;;1;ea;;;S1200287597
6;;;;;;;CAD-Document Drawing ;;7200006223;;AG;SPULENKOERPER F. KERN 13,5;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287596
6;;;;;;;Qualifiying document;;7200132245;Qualifiying document;AA;EMPB-13060-287596-7200006223-SPULENKOERP;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287596
