Structure Level;LvL;MatScr;MatDest;Plant;DisconType;DisconDate;Subtyp;Made From;Mat/Doc Number;DocType;Version;Description;DocPart;PTp;Formula Key;SAP Downstream;Printing Good;State;Raw Dimension 1;Raw Dimension 2;Raw Dimension 3;Raw Dimension Unit;Raw Material Amount;Raw Material Amount Unit;Raw Material Quantity;Raw Material Quantity Unit;Assembly;Pos;DisconGrp;SuccessGrp;Quantity;Quantity Unit;Reference Designator;ERP Position Text;Parent
5;;;;;;;Component;;S1200287596;;AA;SPULENKOERPER F. KERN 13,5;000;L;;;;PUBLISHED;;;;;;;;;No;10;;;1;ea;;;S1200287597
6;;;;;;;CAD-Document Drawing;;7200006223;DRW - Material documents;AG;SPULENKOERPER F. KERN 13,5;000;;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287596
6;;;;;;;Qualifiying document;;7200132245;QEP;AA;EMPB-13060-287596-7200006223-SPULENKOERP;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287596
6;;;;;;;Qualifiying document;;7200174907;QEP;AA;EMPB-13099-287596-7200006223-SPULENKOERP;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287596
5;;;;;;;Component;;S1200634284;;00;DRAHT RD D46435-L 0,118 V;000;L;;;;PUBLISHED;;;;;;;;;No;30;;;2.554;m;;;S1200287597
5;;;;;;;Auxiliary Material;;S2200149288;;00;FITTINGSLOT CU-ROTIN 3;000;L;;;;PUBLISHED;;;;;;;;;No;430;;;1;g;;;S1200287597
6;;;;;;;Specifying document;;7000848190;QEP;AA;MSDS FITTINGSLOT CU-ROTIN 3;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200149288
6;;;;;;;Specifying document;;7200464724;QEP;AA;HS FITTINGSLOT CU-ROTIN 3;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200149288
6;;;;;;;Specifying document;;7200464979;QEP;AA;TD FITTINGSLOT CU-ROTIN 3;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200149288
4;;;;;;;Component;;S1200287602;;00;POT-CORE 13,5 X 5,05;000;L;;;;PUBLISHED;;;;;;;;;No;20;;;1;ea;;;S1200287603
5;;;;;;;CAD-Document Drawing;;7200001060;DRW - Material documents;AF;POT-CORE 13,5 X 5,05;000;;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287602
5;;;;;;;Qualifiying document;;7200094376;QEP;AA;EMPB-12868-287602-7200001060-POT-CORE 13;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287602
5;;;;;;;Qualifiying document;;7200333074;QEP;AA;EMPB-13985-287602-7200001060-POT-CORE 13;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287602
